Feature,Importance
num__s_attack,0.15575858897159833
num__speed,0.13965219275202603
num__s_defense,0.1378282784317011
num__weight,0.13610198258766984
num__attack,0.11733571537650067
num__hp,0.11435130282061136
num__height,0.10337217934653312
num__defense,0.0955997597133596
